id,date,ticker,open_price,high_price,low_price,close_price,volume,daily_return_pct,price_range,moving_avg_7,moving_avg_30,moving_avg_50,fetched_at
14791,2025-12-10,JIOFIN,294.0,295.4,289.25,290.85,8655536,-0.8015,6.15,299.01,304.26,305.05,2026-04-25 22:37:17
14790,2025-12-09,JIOFIN,296.15,296.8,288.75,293.2,13376320,-1.3459,8.05,301.0,304.83,305.15,2026-04-25 22:37:17
14789,2025-12-08,JIOFIN,303.0,304.25,295.25,297.2,12432110,-2.1564,9.0,302.86,305.24,305.32,2026-04-25 22:37:17
14788,2025-12-05,JIOFIN,302.0,304.45,300.25,303.75,6506083,0.4963,4.2,304.18,305.54,305.51,2026-04-25 22:37:17
14787,2025-12-04,JIOFIN,301.0,303.45,300.0,302.25,5601692,0.4153,3.45,304.79,305.71,305.68,2026-04-25 22:37:17
14786,2025-12-03,JIOFIN,305.0,305.7,298.45,301.0,8408528,-1.2629,7.25,304.58,306.03,305.92,2026-04-25 22:37:17
14785,2025-12-02,JIOFIN,303.0,307.0,303.0,304.85,8589532,0.0328,4.0,304.41,306.35,306.24,2026-04-25 22:37:17
14784,2025-12-01,JIOFIN,307.1,308.15,303.55,304.75,6225454,-0.4736,4.6,304.23,306.5,306.49,2026-04-25 22:37:17
14783,2025-11-28,JIOFIN,306.15,308.0,305.5,306.2,5488672,-0.0816,2.5,304.74,306.75,306.71,2026-04-25 22:37:17
14782,2025-11-27,JIOFIN,309.0,309.8,305.0,306.45,5565162,-0.5032,4.8,304.49,306.96,306.89,2026-04-25 22:37:17
14781,2025-11-26,JIOFIN,301.5,308.65,301.5,308.0,8885249,2.3936,7.15,304.42,306.93,307.07,2026-04-25 22:37:17
14780,2025-11-25,JIOFIN,299.75,303.4,299.6,300.8,7131282,0.3168,3.8,304.99,306.95,307.13,2026-04-25 22:37:17
14779,2025-11-24,JIOFIN,303.3,304.35,299.1,299.85,12349060,-1.2189,5.25,307.01,307.19,307.33,2026-04-25 22:37:17
